Level: State
Unit:Total (thousands), Real (2017$)
State,Year,(R01) Total Revenue,(R03) General Revenue,(R11) Alcoholic Beverage Tax (T10),(R26) Total Income Taxes,(E003) Direct Expenditure,(E010) Total Interest on Debt,(E012) Total Salaries & Wages (Z00),(E019) Police & Fire Protection-Dir Exp,(E030) Total High Ed-Dir Exp,(D05) Change In Debt During Yr
Louisiana,2016,$       27297560,$       24530887,$          64706,$        3102756,$       25417676,$         897365,$        4107344,$         225769,$        3599270,$         293110
Alaska,2012,$       15996626,$       15293144,$          42951,$         707988,$       10497014,$         306935,$        1802509,$         128761,$         938866,$-         590317
Alaska,2016,$        8083543,$        7642831,$          43334,$          68894,$       10541752,$         188825,$        1755352,$         119612,$        1098280,$         230857
Maine,2012,$        9170353,$        8698225,$          18525,$        1787249,$        8138258,$         249914,$        1083984,$          78753,$         852645,$-         318808
Maine,2016,$        9003576,$        8481420,$          19140,$        1725113,$        7804086,$         179883,$        1078040,$          86919,$         830484,$-         167112
Maryland,2012,$       38532446,$       35497583,$          33107,$        8537745,$       32616006,$        1172409,$        5221232,$         467092,$        4951032,$         591042
Maryland,2016,$       43459386,$       40533046,$          32301,$        9852042,$       35149644,$        1189708,$        5460862,$         537618,$        5093043,$        1305957
Massachusetts,2012,$       52718169,$       48241077,$          83126,$       14900416,$       51245578,$        3032554,$        6220454,$         777259,$        5074622,$        3233233
Massachusetts,2016,$       61345388,$       55557539,$          85172,$       17121360,$       56381973,$        2774024,$        7037566,$         858011,$        5266618,$        1921244
Michigan,2012,$       69376888,$       56451345,$         159747,$        8247468,$       45593635,$        1073164,$        9064094,$         286004,$        9579855,$-         290715
Michigan,2016,$       72857496,$       62712406,$         159833,$       10473373,$       50342211,$        1702503,$        9737723,$         467892,$       10133533,$         510038
Minnesota,2012,$       41309491,$       36618819,$          84758,$        9666378,$       29409979,$         959028,$        5131278,$         276859,$        4688298,$         355841
Minnesota,2016,$       45248173,$       42149850,$          90234,$       12509199,$       33677179,$         663469,$        5555062,$         325382,$        5190634,$         273080
Mississippi,2012,$       20034177,$       18186839,$          45036,$        2025225,$       15921705,$         319629,$        2635500,$         112528,$        2086948,$         454680
Mississippi,2016,$       21463461,$       19495556,$          43254,$        2311377,$       16988868,$         268314,$        2655331,$         137627,$        2502106,$-         194128
Missouri,2012,$       32700556,$       28413660,$          36663,$        5800791,$       27452561,$         897765,$        3912112,$         303517,$        3215899,$-         308720
Missouri,2016,$       33822708,$       29571999,$          37634,$        6487766,$       27324924,$         786439,$        4010245,$         275400,$        3303269,$-         299201
Montana,2012,$        7299401,$        6316489,$          36319,$        1102365,$        5693168,$         158689,$        1024489,$          67273,$         797358,$-          58460
Montana,2016,$        7203156,$        6333433,$          32587,$        1327706,$        6037985,$         118564,$        1104662,$          38491,$         916146,$-         157361
Nebraska,2012,$       10488531,$        9811596,$          30397,$        2212800,$        7580106,$          94970,$        1528575,$          84213,$        1672490,$-         290783
Nebraska,2016,$       10859077,$       10091243,$          31170,$        2606766,$        8330417,$          61170,$        1571671,$          81972,$        2051478,$         144392
Nevada,2012,$       14648843,$       11857383,$          44515,$              0,$        9632554,$         193005,$        1605908,$          97029,$        1274080,$-         324981
Nevada,2016,$       17149110,$       14183032,$          46059,$              0,$       10495558,$         129822,$        1672678,$          80643,$        1438979,$-         132366
Arizona,2012,$       34050310,$       30438938,$          73003,$        3994742,$       25478748,$         720889,$        4056018,$         244556,$        3666403,$          57715
Arizona,2016,$       39023926,$       35287904,$          73821,$        4636138,$       28368209,$         549728,$        4058046,$         225505,$        4792949,$         159867
New Hampshire,2012,$        7668144,$        6266670,$          10381,$         643634,$        6254930,$         418902,$        1029064,$          59273,$         990433,$-         449116
New Hampshire,2016,$        8499906,$        7139200,$          13124,$         681833,$        6946054,$         335964,$        1137435,$          63572,$        1006176,$-         349343
New Jersey,2012,$       64334467,$       55530547,$         144454,$       13940551,$       60458361,$        2328103,$       10622610,$         662895,$        4940828,$         896791
New Jersey,2016,$       68507226,$       62438878,$         141756,$       15917505,$       61864576,$        2226810,$       10295968,$         604332,$        5812216,$-         455158
New Mexico,2012,$       16624568,$       15481408,$          47697,$        1498054,$       13375520,$         324415,$        2464768,$         122712,$        2164403,$-         607209
New Mexico,2016,$       18906841,$       16847235,$          38582,$        1157365,$       16721504,$         256767,$        2564982,$         127057,$        2282405,$         370754
New York,2012,$      185045926,$      154923718,$         255089,$       46270659,$      132208315,$        6076365,$       16919493,$         851299,$       11554701,$        1120891
New York,2016,$      187113311,$      165440126,$         306321,$       51766138,$      133990906,$        5797460,$       18097096,$         813333,$       11017916,$         120106
North Carolina,2012,$       55823314,$       50420254,$         344810,$       12388565,$       42608341,$         730965,$        7969098,$         341311,$        8126043,$-         282373
North Carolina,2016,$       58301322,$       54105438,$         386813,$       13388746,$       42637986,$         682162,$        7763534,$         511079,$        7874517,$-         607873
North Dakota,2012,$        7938730,$        7532882,$           9035,$         691979,$        5014060,$         107461,$         961863,$          25598,$         999310,$          19119
North Dakota,2016,$        7469188,$        6852497,$           9218,$         463870,$        5991300,$          80283,$        1106067,$          31943,$        1246082,$         338851
Ohio,2012,$       73877488,$       61789597,$         104748,$        9765335,$       62658162,$        1688619,$        8144191,$         312908,$        8619876,$        1454707
Ohio,2016,$       79259068,$       68632488,$         102858,$        8377173,$       69135604,$        1338537,$        8227562,$         323871,$        9067188,$          56736
Oklahoma,2012,$       24876715,$       22156190,$         110852,$        3438159,$       19710172,$         543148,$        3115400,$         167368,$        3632587,$-         281307
Oklahoma,2016,$       23246983,$       21613647,$         122658,$        3730247,$       20658068,$         440969,$        3427562,$         185273,$        4122172,$-         238187
Oregon,2012,$       28141700,$       24055686,$          18493,$        6682175,$       26887621,$         420311,$        4000570,$         165131,$        3120017,$-         534679
Oregon,2016,$       34240223,$       29485776,$          18766,$        8421277,$       31242798,$         340375,$        4323587,$         204820,$        3842117,$         319485
Pennsylvania,2012,$       80729281,$       71032827,$         345936,$       12746880,$       72911026,$        1777779,$        9596878,$         949700,$        8602648,$-          28802
Pennsylvania,2016,$       92322899,$       81033153,$         380950,$       14694988,$       78099157,$        1538316,$       10208617,$        1055697,$        9837440,$-         813540
Arkansas,2012,$       19327543,$       18260456,$          52103,$        2995736,$       15197659,$         164742,$        3081711,$         119456,$        2821549,$-         192222
Arkansas,2016,$       21812664,$       20704015,$          56339,$        3300462,$       16839317,$         139033,$        3070935,$         110156,$        2769171,$-         136402
Rhode Island,2012,$        8694006,$        7710918,$          13741,$        1286303,$        7681865,$         549176,$        1273181,$          77274,$         720494,$          24110
Rhode Island,2016,$        8923819,$        8136174,$          20834,$        1409872,$        7842638,$         448760,$        1312852,$          86671,$         697358,$          46296
South Carolina,2012,$       27064421,$       22707716,$         164362,$        3576260,$       23868250,$         749487,$        3666461,$         163217,$        3727382,$-         519695
South Carolina,2016,$       30236473,$       26117845,$         176826,$        4368768,$       25678055,$         566233,$        4023002,$         170903,$        4252975,$        1153945
South Dakota,2012,$        4636672,$        4251271,$          16494,$          63883,$        4005466,$         132678,$         683817,$          36070,$         597654,$          67093
South Dakota,2016,$        4596237,$        4304835,$          18187,$          34455,$        4401477,$         113945,$         766515,$          44815,$         760277,$          28687
Tennessee,2012,$       32009498,$       28272434,$         142053,$        1385385,$       25847566,$         274633,$        3840687,$         189444,$        4055739,$         287678
Tennessee,2016,$       31943304,$       29450033,$         178054,$        1902281,$       25164040,$         273278,$        4046562,$         213488,$        3783745,$         173725
Texas,2012,$      131549582,$      111606876,$        1005126,$              0,$      102211597,$        1404990,$       16934213,$         880697,$       21290676,$        7583118
Texas,2016,$      146468080,$      124982918,$        1217354,$              0,$      115352343,$        1245556,$       18964508,$        1159079,$       23736491,$        1347282
Utah,2012,$       16745494,$       15224535,$          48922,$        2909353,$       15290824,$         303509,$        2860358,$         157412,$        3830361,$-         152272
Utah,2016,$       18592976,$       16831357,$          52661,$        3786884,$       16403149,$         244832,$        3407532,$         157535,$        4495884,$-         476213
Vermont,2012,$        6161861,$        5822957,$          23918,$         742029,$        4763710,$         133606,$         818824,$         103195,$         777626,$-          93070
Vermont,2016,$        6707880,$        6333262,$          25558,$         878204,$        5264367,$         104891,$         925577,$         102738,$         890465,$-          86376
Virginia,2012,$       46054637,$       42106043,$         211504,$       11802514,$       37480141,$        1200797,$        6929551,$         341538,$        7784492,$        1379420
Virginia,2016,$       52867968,$       46504215,$         274268,$       13267433,$       41656958,$        1110254,$        7585697,$         384406,$        7922627,$         405091
Washington,2012,$       43589765,$       36551746,$         372776,$              0,$       38135784,$        1444713,$        6989109,$         382717,$        6275976,$         947872
Washington,2016,$       52263987,$       44995177,$         355048,$              0,$       41527367,$        1470409,$        8152490,$         435638,$        7249407,$         828013
West Virginia,2012,$       14143126,$       13125955,$          18367,$        2079871,$       11322026,$         267311,$        1825135,$          86993,$        1798699,$-         106226
West Virginia,2016,$       13614549,$       12797256,$          18161,$        2007036,$       12748569,$         308590,$        1886666,$          86240,$        1776209,$         158766
California,2012,$      258367606,$      212840241,$         369398,$       67231933,$      196046770,$        8197202,$       30540901,$        1632088,$       27263473,$        3481107
California,2016,$      330200182,$      292579686,$         376554,$       92586814,$      244168525,$        7340027,$       34636663,$        1959621,$       29167779,$         791248
Wisconsin,2012,$       37240809,$       33457505,$          60084,$        8216968,$       29571536,$         830415,$        4042655,$         147518,$        5214804,$         125108
Wisconsin,2016,$       37477401,$       35219615,$          60226,$        8653976,$       29626871,$         620350,$        4363176,$         150339,$        4882378,$         986348
Wyoming,2012,$        7921670,$        7173560,$           1860,$              0,$        4736032,$          55362,$         721629,$          42393,$         505520,$-          45481
Wyoming,2016,$        6590757,$        5751378,$           1960,$              0,$        4936201,$          24823,$         735056,$          41330,$         592989,$-          62424
Colorado,2012,$       27274201,$       23221702,$          41442,$        5730845,$       23500596,$         811280,$        4559576,$         143503,$        4769143,$          15429
Colorado,2016,$       31916751,$       27968522,$          44332,$        7263216,$       27645106,$         767005,$        5354381,$         185738,$        5915427,$-         158689
Connecticut,2012,$       29313723,$       26971831,$          64693,$        8537263,$       24635024,$        1635446,$        4403553,$         222347,$        2681530,$         472470
Connecticut,2016,$       29610330,$       27604656,$          57545,$        8499947,$       23094150,$        1521061,$        4673720,$         256924,$        3439056,$        1746132
Delaware,2012,$        8515493,$        7892212,$          18848,$        1482280,$        7269106,$         332424,$        1424378,$         133473,$        1215876,$-          11855
Delaware,2016,$        8346346,$        8222999,$          20706,$        1460995,$        7916730,$         242145,$        1435726,$         142174,$        1289695,$          81956
DC,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DC,2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A

Data may be unavailable for some years, variables, and levels of government. Observations with missing values are displayed as N/A in the results above.



	
